timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659014231577,5020,Login,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,939714,6864,10,10,http://localhost/login,2159,0,25
1659014231577,2159,Login-0,302,Found,jp@gc - Ultimate Thread Group 1-10,text,true,,1222,320,10,10,http://localhost/,2159,0,25
1659014233737,642,Login-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,59940,775,10,10,http://localhost/login,636,0,0
1659014234499,61,Login-2,200,OK,jp@gc - Ultimate Thread Group 1-10,bin,true,,110571,411,10,10,http://localhost/static/favicon.ico,34,0,0
1659014234500,1411,Login-3,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,85098,381,10,10,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,1235,0,1207
1659014234501,2096,Login-4,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,225025,791,10,10,http://localhost/dist/style.min.css,21,0,0
1659014234501,106,Login-0,200,OK,,text,true,,220876,411,0,0,http://localhost/dist/style.min.css,21,0,0
1659014236520,77,Login-1,200,OK,ResDownload-Thread-12,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,76,0,58
1659014234502,1360,Login-5,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,11624,369,10,10,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,1244,0,1203
1659014232964,3637,Login,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,939683,6864,10,10,http://localhost/login,740,0,1
1659014234502,1263,Login-6,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,17019,374,10,10,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,1167,0,1147
1659014231965,4636,Login,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,939728,6864,10,10,http://localhost/login,1739,0,0
1659014233964,2641,Login,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,939697,6864,10,10,http://localhost/login,826,0,1
1659014232964,743,Login-0,302,Found,jp@gc - Ultimate Thread Group 1-7,text,true,,1222,320,10,10,http://localhost/,740,0,1
1659014234504,1383,Login-7,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,72854,350,10,10,https://code.jquery.com/jquery-3.6.0.slim.min.js,1258,0,1167
1659014231965,1742,Login-0,302,Found,jp@gc - Ultimate Thread Group 1-9,text,true,,1222,320,10,10,http://localhost/,1739,0,0
1659014233964,826,Login-0,302,Found,jp@gc - Ultimate Thread Group 1-5,text,true,,1222,320,10,10,http://localhost/,826,0,1
1659014233712,668,Login-1,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,59939,775,10,10,http://localhost/login,667,0,0
1659014234572,1376,Login-8,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,84918,378,10,10,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,1147,0,1125
1659014234790,331,Login-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,59968,775,10,10,http://localhost/login,330,0,0
1659014233712,660,Login-1,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,59962,775,10,10,http://localhost/login,657,0,0
1659014234499,116,Login-2,200,OK,jp@gc - Ultimate Thread Group 1-7,bin,true,,110571,411,10,10,http://localhost/static/favicon.ico,88,0,0
1659014235888,140,Login-9,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,90625,367,10,10,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,73,0,44
1659014235128,313,Login-2,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,110571,411,10,10,http://localhost/static/favicon.ico,7,0,0
1659014234503,112,Login-2,200,OK,jp@gc - Ultimate Thread Group 1-9,bin,true,,110571,411,10,10,http://localhost/static/favicon.ico,88,0,0
1659014234504,1386,Login-3,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,85090,381,10,10,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,1267,0,1229
1659014235949,125,Login-10,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,91004,363,10,10,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,112,0,80
1659014235128,740,Login-3,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,85080,381,10,10,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,605,0,574
