timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659015637415,96,GET TOKEN-10,200,OK,Thread Group 1-4,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,95,0,55
1659015637082,262,GET TOKEN-6,200,OK,Thread Group 1-6,text,true,,72854,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,245,0,214
1659015637014,314,GET TOKEN-5,200,OK,Thread Group 1-5,text,true,,17500,374,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,312,0,253
1659015636823,512,GET TOKEN-4,200,OK,Thread Group 1-1,text,true,,11624,369,17,17,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,485,0,446
1659015636823,539,GET TOKEN-2,200,OK,Thread Group 1-3,text,true,,85082,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,479,0,438
1659015637415,97,GET TOKEN-11,200,OK,Thread Group 1-4,text,true,,74426,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,91,0,53
1659015637014,312,GET TOKEN-6,200,OK,Thread Group 1-5,text,true,,72830,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,286,0,257
1659015637095,249,GET TOKEN-7,200,OK,Thread Group 1-6,text,true,,85413,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,242,0,177
1659015636824,505,GET TOKEN-5,200,OK,Thread Group 1-1,text,true,,17502,374,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,496,0,439
1659015636823,773,GET TOKEN-3,200,OK,Thread Group 1-3,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,26,0,1
1659015637445,34,GET TOKEN-12,200,OK,Thread Group 1-4,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,34,0,0
1659015637043,306,GET TOKEN-7,200,OK,Thread Group 1-5,text,true,,85419,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,255,0,211
1659015637345,121,GET TOKEN-8,200,OK,Thread Group 1-6,text,true,,90636,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,110,0,79
1659015636824,502,GET TOKEN-6,200,OK,Thread Group 1-1,text,true,,72830,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,478,0,446
1659015636823,40,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,26,0,1
1659015637480,24,GET TOKEN-13,200,OK,Thread Group 1-4,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,24,0,0
1659015637338,109,GET TOKEN-8,200,OK,Thread Group 1-5,text,true,,90621,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,104,0,68
1659015637346,107,GET TOKEN-9,200,OK,Thread Group 1-6,text,true,,91004,363,17,17,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,101,0,69
1659015637498,98,GET TOKEN-1,200,OK,ResDownload-Thread-12,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,98,0,71
1659015637362,98,GET TOKEN-9,200,OK,Thread Group 1-5,text,true,,91004,363,17,17,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,89,0,59
1659015636823,507,GET TOKEN-4,200,OK,Thread Group 1-3,text,true,,11624,369,17,17,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,489,0,448
1659015636856,487,GET TOKEN-7,200,OK,Thread Group 1-1,text,true,,85417,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,480,0,414
1659015637419,99,GET TOKEN-10,200,OK,Thread Group 1-6,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,99,0,52
1659015637416,93,GET TOKEN-10,200,OK,Thread Group 1-5,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,92,0,59
